央视频道,#genre#
CCTV怀旧剧场,http://113.64.197.107:6633/udp/239.253.43.25:5146
CCTV怀旧剧场,http://113.64.197.107:6633/udp/239.253.43.5:5146
CCTV第一剧场,http://113.64.197.107:6633/udp/239.253.43.28:5146
CCTV第一剧场,http://113.64.197.107:6633/udp/239.253.43.15:5146
CCTV风云剧场,http://113.64.197.107:6633/udp/239.253.43.26:5146
CCTV风云剧场,http://113.64.197.107:6633/udp/239.253.43.16:5146
CCTV风云足球,http://113.64.197.107:6633/udp/239.253.43.20:5146
CCTV风云足球,http://113.64.197.107:6633/udp/239.253.43.14:5146
CCTV风云音乐,http://113.64.197.107:6633/udp/239.253.43.29:5146
CCTV风云音乐,http://113.64.197.107:6633/udp/239.253.43.6:5146
CCTV电视指南,http://113.64.197.107:6633/udp/239.253.43.19:5146
CCTV电视指南,http://113.64.197.107:6633/udp/239.253.43.10:5146
CCTV高尔夫网球,http://113.64.197.107:6633/udp/239.253.43.22:5146
CCTV高尔夫网球,http://113.64.197.107:6633/udp/239.253.43.12:5146
CCTV央视文化精品,http://113.64.197.107:6633/udp/239.253.43.27:5146
CCTV央视文化精品,http://113.64.197.107:6633/udp/239.253.43.13:5146
CCTV老故事,http://113.64.197.107:6633/udp/239.77.0.220:5146
CCTV老故事,http://113.64.197.107:6633/udp/239.77.1.197:5146
CCTV中学生,http://113.64.197.107:6633/udp/239.77.1.195:5146
CCTV发现之旅,http://113.64.197.107:6633/udp/239.77.1.112:5146
CETV1,http://113.64.197.107:6633/udp/239.77.1.222:5146
CETV1,http://113.64.197.107:6633/udp/239.77.0.200:5146
CETV1,http://119.34.190.113:2911/udp/224.1.100.107:11111
CETV1,http://119.34.190.113:2911/udp/224.1.100.108:11111
CETV2,http://113.64.197.107:6633/udp/239.77.0.28:5146
CETV2,http://113.64.197.107:6633/udp/239.77.1.69:5146
CETV4,http://113.64.197.107:6633/udp/239.77.1.200:5146
CETV4,http://113.64.197.107:6633/udp/239.253.43.40:5146
CETV4,http://113.64.197.107:6633/udp/239.253.43.114:5146
CETV4,http://119.34.190.113:2911/udp/224.1.100.109:11111
早期教育,http://113.64.197.107:6633/udp/239.77.0.180:5146
中国交通,http://113.64.197.107:6633/udp/239.77.1.249:5146
中国天气,http://113.64.197.107:6633/udp/239.77.1.143:5146
中国天气,http://119.34.190.113:2911/udp/224.1.100.159:11111
CGTN英语,http://113.64.197.107:6633/udp/239.77.0.199:5146
CGTN英语,http://119.34.190.113:2911/udp/224.1.100.137:11111
CGTN纪录,http://113.64.197.107:6633/udp/239.253.43.122:5146
CGTN西班牙语,http://113.64.197.107:6633/udp/239.77.0.221:5146
CGTN西班牙语,http://119.34.190.113:2911/udp/224.1.100.142:11111
CGTN法语,http://113.64.197.107:6633/udp/239.77.0.228:5146
CGTN法语,http://119.34.190.113:2911/udp/224.1.100.147:11111
CGTN阿拉伯语,http://113.64.197.107:6633/udp/239.253.43.200:5146
CGTN阿拉伯语,http://119.34.190.113:2911/udp/224.1.100.145:11111
CGTN俄语,http://113.64.197.107:6633/udp/239.253.43.201:5146
CGTN俄语,http://119.34.190.113:2911/udp/224.1.100.140:11111
卫视频道,#genre#
凤凰中文,http://119.34.190.113:2911/udp/224.1.100.3:11111
湖南卫视,http://113.64.197.107:6633/udp/239.77.1.5:5146
湖南卫视,http://113.64.197.107:6633/udp/239.77.0.88:5146
湖南卫视,http://119.34.190.113:2911/udp/224.1.100.97:11111
湖南卫视,http://119.34.190.113:2911/udp/224.1.100.98:11111
浙江卫视,http://113.64.197.107:6633/udp/239.77.1.33:5146
浙江卫视,http://113.64.197.107:6633/udp/239.77.0.89:5146
浙江卫视,http://119.34.190.113:2911/udp/224.1.100.51:11111
浙江卫视,http://119.34.190.113:2911/udp/224.1.100.52:11111
江苏卫视,http://113.64.197.107:6633/udp/239.77.1.18:5146
江苏卫视,http://113.64.197.107:6633/udp/239.77.0.90:5146
江苏卫视,http://119.34.190.113:2911/udp/224.1.100.45:11111
江苏卫视,http://119.34.190.113:2911/udp/224.1.100.46:11111
广东卫视,http://113.64.197.107:6633/udp/239.77.0.166:5146
广东卫视,http://113.64.197.107:6633/udp/239.77.1.19:5146
广东卫视,http://113.64.197.107:6633/udp/239.77.1.152:5146
广东卫视,http://113.64.197.107:6633/udp/239.77.0.84:5146
广东卫视,http://119.34.190.113:2911/udp/224.1.100.95:11111
广东卫视,http://119.34.190.113:2911/udp/224.1.100.96:11111
深圳卫视,http://113.64.197.107:6633/udp/239.77.1.3:5146
深圳卫视,http://113.64.197.107:6633/udp/239.77.1.148:5146
深圳卫视,http://113.64.197.107:6633/udp/239.77.0.92:5146
深圳卫视,http://119.34.190.113:2911/udp/224.1.100.39:11111
深圳卫视,http://119.34.190.113:2911/udp/224.1.100.40:11111
东方卫视,http://113.64.197.107:6633/udp/239.77.1.218:5146
东方卫视,http://113.64.197.107:6633/udp/239.77.0.98:5146
东方卫视,http://119.34.190.113:2911/udp/224.1.100.47:11111
东方卫视,http://119.34.190.113:2911/udp/224.1.100.48:11111
北京卫视,http://113.64.197.107:6633/udp/239.77.1.4:5146
北京卫视,http://113.64.197.107:6633/udp/239.77.1.151:5146
北京卫视,http://113.64.197.107:6633/udp/239.77.0.91:5146
北京卫视,http://119.34.190.113:2911/udp/224.1.100.99:11111
北京卫视,http://119.34.190.113:2911/udp/224.1.100.100:11111
天津卫视,http://113.64.197.107:6633/udp/239.77.1.141:5146
天津卫视,http://113.64.197.107:6633/udp/239.77.1.182:5146
天津卫视,http://113.64.197.107:6633/udp/239.77.0.97:5146
天津卫视,http://119.34.190.113:2911/udp/224.1.100.61:11111
天津卫视,http://119.34.190.113:2911/udp/224.1.100.62:11111
大湾区卫视,http://113.64.197.107:6633/udp/239.77.0.215:5146
大湾区卫视,http://119.34.190.113:2911/udp/224.1.100.153:11111
大湾区卫视,http://119.34.190.113:2911/udp/224.1.100.7:11111
山东卫视,http://113.64.197.107:6633/udp/239.77.1.142:5146
山东卫视,http://113.64.197.107:6633/udp/239.77.0.94:5146
山东卫视,http://119.34.190.113:2911/udp/224.1.100.50:11111
山东卫视,http://119.34.190.113:2911/udp/224.1.100.49:11111
湖北卫视,http://113.64.197.107:6633/udp/239.77.1.93:5146
湖北卫视,http://113.64.197.107:6633/udp/239.77.1.174:5146
湖北卫视,http://113.64.197.107:6633/udp/239.77.0.95:5146
湖北卫视,http://119.34.190.113:2911/udp/224.1.100.67:11111
湖北卫视,http://119.34.190.113:2911/udp/224.1.100.68:11111
四川卫视,http://113.64.197.107:6633/udp/239.77.1.215:5146
四川卫视,http://113.64.197.107:6633/udp/239.77.0.159:5146
四川卫视,http://119.34.190.113:2911/udp/224.1.100.71:11111
四川卫视,http://119.34.190.113:2911/udp/224.1.100.72:11111
重庆卫视,http://113.64.197.107:6633/udp/239.77.1.162:5146
重庆卫视,http://113.64.197.107:6633/udp/239.77.0.182:5146
重庆卫视,http://119.34.190.113:2911/udp/224.1.100.101:11111
重庆卫视,http://119.34.190.113:2911/udp/224.1.100.102:11111
安徽卫视,http://113.64.197.107:6633/udp/239.77.1.92:5146
安徽卫视,http://113.64.197.107:6633/udp/239.77.0.183:5146
安徽卫视,http://119.34.190.113:2911/udp/224.1.100.66:11111
安徽卫视,http://119.34.190.113:2911/udp/224.1.100.65:11111
黑龙江卫视,http://113.64.197.107:6633/udp/239.77.1.6:5146
黑龙江卫视,http://113.64.197.107:6633/udp/239.77.1.179:5146
黑龙江卫视,http://113.64.197.107:6633/udp/239.77.0.93:5146
黑龙江卫视,http://119.34.190.113:2911/udp/224.1.100.139:11111
东南卫视,http://113.64.197.107:6633/udp/239.77.1.104:5146
东南卫视,http://113.64.197.107:6633/udp/239.77.0.146:5146
